2020-01-24,"(i) Case identification, contact tracing and related measures","Activate case notification (Covid-19 as a notifiable disease)"
2020-01-24,"(v) Risk communication","Actively communicate with stakeholders (); Actively communicate with healthcare professionals (Health agencies and emergency healthcare); Educate and actively communicate with the public (Information campaign)"
2020-01-25,"(v) Risk communication","Educate and actively communicate with the public (Encourage vaccination against respiratory diseases other than covid19)"
2020-01-27,"(i) Case identification, contact tracing and related measures","Airport health check (Temperature screening for passengers from China)"
2020-02-27,"(i) Case identification, contact tracing and related measures","Airport health check (Temperature screening for passengers from high-risk areas other than China)"
2020-02-28,"(iv) Resource allocation","Crisis management plans (Financial aid for health system)"
2020-02-28,"(v) Risk communication","Educate and actively communicate with the public (Conferences in school)"
2020-03-06,"(ii) Environmental measures","Environmental cleaning and disinfection (Schools)"
2020-03-06,"(v) Risk communication","Travel alert and warning (Warning against travel to and return from high risk areas); Educate and actively communicate with the public (Discourage non-essential travels); Educate and actively communicate with the public (Encourage self-initiated quarantine); Educate and actively communicate with the public (Respiratory etiquette)"
2020-03-08,"(iii) Healthcare and public health capacity","Increase healthcare workforce (Train medical staff specially for covid-19); Increase healthcare workforce (Mobilization of domestic resources for health); Repurpose hospitals (Some hospitals dedicated to covid19 patients)"
2020-03-10,"(iv) Resource allocation","Crisis management plans ()"
2020-03-11,"(i) Case identification, contact tracing and related measures","Airport health check (Temperature screening for passengers from high-risk areas other than China); Quarantine (All incomings from high-risk areas)"
2020-03-11,"(ii) Environmental measures","Environmental cleaning and disinfection (Public and private institutions, public and private transports)"
2020-03-11,"(iii) Healthcare and public health capacity","Increase availability of PPE (Prohibition of export of protective personal equipment); Increase in medical supplies and equipment (Ban on exportation of medical equipment and drugs)"
2020-03-11,"(vi) Social distancing","Closure of educational institutions (Complete closure of kindergartens); Closure of educational institutions (Complete closure of primary and secondary schools); Closure of educational institutions (Complete closure of universities); Mass gathering cancellation (Cultural places and events); Mass gathering cancellation (Sport events); Mass gathering cancellation (Indoor activities); Small gathering cancellation (Closure of restaurants/bars/cafes)"
2020-03-11,"(vii) Travel restriction","Border restriction (Travel ban to high-risk areas); Airport restriction (Cancellation of international flights)"
2020-03-12,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans); Crisis management plans (Risk management plan); Measures to ensure security of supply (Fixing price for necessity goods)"
2020-03-12,"(v) Risk communication","Actively communicate with stakeholders (); Actively communicate with healthcare professionals (Health agencies and emergency healthcare)"
2020-03-13,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions)"
2020-03-13,"(vi) Social distancing","Small gathering cancellation (Closure of restaurants/bars/cafes); Mass gathering cancellation (Cultural places and events); Mass gathering cancellation (Sport events); Small gathering cancellation (Mandatory home office)"
2020-03-13,"(vii) Travel restriction","Public transport restriction (Public transport ban); Border restriction (Entry ban to non-citizens)"
2020-03-15,"(v) Risk communication","Educate and actively communicate with the public (Information campaign); Educate and actively communicate with the public (Promote the 2m distance)"
2020-03-16,"(v) Risk communication","Call for return of nationals living abroad ()"
2020-03-16,"(vii) Travel restriction","Airport restriction (Cancellation of international flights)"
2020-03-17,"(i) Case identification, contact tracing and related measures","Surveillance (Implement community-based surveillance)"
2020-03-17,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions); Educate and actively communicate with the public (Encourage hand hygiene)"
2020-03-18,"(i) Case identification, contact tracing and related measures","Quarantine (); Quarantine (Contact persons); Quarantine (Suspected cases)"
2020-03-21,"(vi) Social distancing","Mass gathering cancellation (Outdoor activities); Work safety protocols ()"
2020-03-24,"(vii) Travel restriction","Individual movement restrictions (Curfew)"
2020-03-27,"(iv) Resource allocation","Crisis management plans (The government changed the whole board of directors of the main hospital)"
2020-03-27,"(vii) Travel restriction","Individual movement restrictions (Curfew)"
2020-03-28,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Increase testing capacity (number tests))"
2020-03-29,"(vi) Social distancing","Small gathering cancellation ()"
2020-03-30,"(iv) Resource allocation","Receive international help (From the EU); Receive international help (From the US embassy)"
