2020-01-25,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-02-26,"(iv) Resource allocation","Emergency response mechanisms (Declare state of emergency)"
2020-03-10,"(v) Risk communication","Educate and actively communicate with the public (Answer to questions)"
2020-03-12,"(vi) Social distancing","Mass gathering cancellation (Cultural places and events); Mass gathering cancellation (Limit up to 100 persons)"
2020-03-13,"(i) Case identification, contact tracing and related measures","Border health check (Health declaration); Border health check (Test at the border)"
2020-03-13,"(v) Risk communication","Educate and actively communicate with the public (Recommendation for home office); Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-03-13,"(vii) Travel restriction","Airport restriction (Cancellation of international flights)"
2020-03-16,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas)"
2020-03-16,"(iii) Healthcare and public health capacity","Case management (Hospitals prepared to treat); Increase healthcare workforce (Mobilization of domestic resources for health); Increase patient capacity (Postponement of non-essential care and non-urgent operations in hospitals); Increase isolation and quarantine facilities (Hotels transformed in quarantine facilities)"
2020-03-16,"(v) Risk communication","Educate and actively communicate with the public (Encourage self-initiated quarantine)"
2020-03-16,"(vi) Social distancing","Closure of educational institutions (Complete closure of kindergartens); Closure of educational institutions (Complete closure of primary and secondary schools); Closure of educational institutions (Complete closure of universities); Mass gathering cancellation (Complete prohibition of gathering); Mass gathering cancellation (Cultural places and events); Mass gathering cancellation (Indoor activities); Mass gathering cancellation (Place of worship); Measures for special populations (Measures to limit contact to hospital patients); Measures for special populations (Prisons); Small gathering cancellation (Closure of non-essential shops); Small gathering cancellation (Closure of restaurants/bars/cafes)"
2020-03-16,"(vii) Travel restriction","Border restriction (Entry ban to non-citizens); Airport restriction (Cancellation of international flights); Port and ship restriction (Deny entry to boats with more than 100 passengers); Individual movement restrictions (Non-essential movements forbidden); National lockdown ()"
2020-03-24,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings)"
2020-03-24,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Increase laboratory facilities)"
2020-03-24,"(vi) Social distancing","Special measures for certain establishments (Food services)"
2020-03-24,"(vii) Travel restriction","Border restriction (Land border controls)"
2020-03-25,"(iv) Resource allocation","Crisis management plans (Risk management plan)"
2020-03-25,"(v) Risk communication","Educate and actively communicate with the public (Respiratory etiquette)"
2020-03-25,"(vii) Travel restriction","Public transport restriction (Public transport ban); National lockdown (Time extension)"
2020-04-01,"(iii) Healthcare and public health capacity","Increase availability of PPE (Prohibition of export of protective personal equipment)"
2020-04-03,"(iv) Resource allocation","Police and army interventions (To enforce lockdown)"
2020-04-08,"(vii) Travel restriction","National lockdown (Time extension)"
2020-04-10,"(iii) Healthcare and public health capacity","Personal protective measures (Mandatory use of masks)"
